City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
59,Qaanaaq,77.484,-69.3632,17.74,93,98,2.01,overcast clouds,GL,2022-05-28 02:43:45
60,Carnarvon,-24.8667,113.6333,70.07,71,100,8.7,overcast clouds,AU,2022-05-28 02:43:46
61,Totskoye,52.5248,52.7623,53.37,85,4,13.89,clear sky,RU,2022-05-28 02:43:46
62,Seoul,37.5683,126.9778,76.57,50,0,10.36,clear sky,KR,2022-05-28 02:39:29
63,Puerto Ayora,-0.7393,-90.3518,71.55,90,96,1.99,overcast clouds,EC,2022-05-28 02:39:41
64,Cape Town,-33.9258,18.4232,60.39,88,75,12.66,broken clouds,ZA,2022-05-28 02:41:28
65,Abapo,-18.8333,-63.4667,61.57,82,0,2.62,clear sky,BO,2022-05-28 02:43:47
66,Provideniya,64.3833,-173.3,43.86,74,89,8.39,overcast clouds,RU,2022-05-28 02:43:48
67,Geraldton,-28.7667,114.6,72.01,64,0,9.22,clear sky,AU,2022-05-28 02:43:48
68,Albany,42.6001,-73.9662,69.67,84,100,5.82,overcast clouds,US,2022-05-28 02:41:27
69,Afonso Claudio,-20.0742,-41.1239,64.89,98,100,1.36,overcast clouds,BR,2022-05-28 02:43:49
70,Nanortalik,60.1432,-45.2371,37.87,84,100,4.56,overcast clouds,GL,2022-05-28 02:43:49
71,Eirunepe,-6.6603,-69.8736,71.6,98,100,0.4,overcast clouds,BR,2022-05-28 02:43:49
72,Butaritari,3.0707,172.7902,81.36,76,99,9.15,light rain,KI,2022-05-28 02:43:50
73,Yamaranguila,14.2833,-88.25,60.08,91,100,1.99,overcast clouds,HN,2022-05-28 02:43:50
74,Ribeira Grande,38.5167,-28.7,62.24,88,100,19.86,overcast clouds,PT,2022-05-28 02:43:51
75,Kaitangata,-46.2817,169.8464,54.14,66,48,4.72,scattered clouds,NZ,2022-05-28 02:43:51
76,Hobart,-42.8794,147.3294,55.26,71,40,6.91,scattered clouds,AU,2022-05-28 02:41:53
77,San Cristobal,7.7669,-72.225,75.38,96,100,3.65,overcast clouds,VE,2022-05-28 02:43:52
78,Touros,-5.1989,-35.4608,75.42,92,100,9.17,light rain,BR,2022-05-28 02:43:52
79,Norman Wells,65.282,-126.8329,41.04,81,100,20.71,light intensity drizzle,CA,2022-05-28 02:42:19
80,Lebu,-37.6167,-73.65,43.38,80,11,13.67,few clouds,CL,2022-05-28 02:43:53
81,Tuktoyaktuk,69.4541,-133.0374,30.2,80,100,19.57,overcast clouds,CA,2022-05-28 02:43:54
82,Wanning,18.8003,110.3967,86.36,75,89,10.02,overcast clouds,CN,2022-05-28 02:43:54
83,Ambon,-3.6954,128.1814,86.14,70,40,4.61,scattered clouds,ID,2022-05-28 02:43:55
84,Yellowknife,62.456,-114.3525,55.92,54,75,4.61,thunderstorm,CA,2022-05-28 02:41:59
85,East London,-33.0153,27.9116,59.36,53,28,4.65,scattered clouds,ZA,2022-05-28 02:43:55
86,Parauna,-16.9478,-50.4486,65.07,56,97,3.04,overcast clouds,BR,2022-05-28 02:43:56
87,Panaba,21.2833,-88.2667,77.85,81,100,9.35,overcast clouds,MX,2022-05-28 02:43:56
88,Umm Kaddadah,13.6017,26.6876,75.79,11,3,12.03,clear sky,SD,2022-05-28 02:43:57
89,Hambantota,6.1241,81.1185,80.94,94,20,10.36,few clouds,LK,2022-05-28 02:43:57
90,Inta,66.0317,60.1659,54.36,77,41,12.86,scattered clouds,RU,2022-05-28 02:43:58
91,Bethel,41.3712,-73.414,66.29,90,20,9.22,few clouds,US,2022-05-28 02:43:58
92,Barrow,71.2906,-156.7887,33.82,86,100,13.8,light rain,US,2022-05-28 02:43:59
93,Bontang,0.1333,117.5,78.73,81,100,1.23,overcast clouds,ID,2022-05-28 02:43:59
94,Meadow Lake,34.8014,-106.5436,81.84,23,99,8.12,overcast clouds,US,2022-05-28 02:43:59
95,Avarua,-21.2078,-159.775,77.05,88,75,10.36,broken clouds,CK,2022-05-28 02:44:00
