City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Geraldton,-28.7667,114.6,292.38,68,0,6.69,AU,2022-05-28 01:47:31
68,Albany,42.6001,-73.9662,294.51,81,100,3.3,US,2022-05-28 01:44:57
69,Afonso Claudio,-20.0742,-41.1239,291.41,98,100,0.86,BR,2022-05-28 01:47:45
70,Nanortalik,60.1432,-45.2371,276.56,85,100,2.91,GL,2022-05-28 01:47:45
71,Eirunepe,-6.6603,-69.8736,295.24,98,100,0.1,BR,2022-05-28 01:44:41
72,Butaritari,3.0707,172.7902,300.52,76,100,4.16,KI,2022-05-28 01:47:46
73,Yamaranguila,14.2833,-88.25,288.78,92,99,0.98,HN,2022-05-28 01:47:46
74,Ribeira Grande,38.5167,-28.7,290.41,92,100,6.87,PT,2022-05-28 01:47:47
75,Kaitangata,-46.2817,169.8464,285.54,63,59,2.48,NZ,2022-05-28 01:47:47
76,Hobart,-42.8794,147.3294,285.52,72,0,2.57,AU,2022-05-28 01:47:48
77,San Cristobal,7.7669,-72.225,297.25,97,100,1.5,VE,2022-05-28 01:47:19
78,Touros,-5.1989,-35.4608,297.51,92,100,4.81,BR,2022-05-28 01:47:49
79,Norman Wells,65.282,-126.8329,279.17,75,100,8.23,CA,2022-05-28 01:47:49
80,Lebu,-37.6167,-73.65,279.81,80,17,6.21,CL,2022-05-28 01:47:50
81,Tuktoyaktuk,69.4541,-133.0374,273.15,74,75,9.26,CA,2022-05-28 01:47:50
82,Wanning,18.8003,110.3967,302.95,77,89,3.96,CN,2022-05-28 01:47:50
83,Ambon,-3.6954,128.1814,303.23,70,40,2.06,ID,2022-05-28 01:47:51
84,Yellowknife,62.456,-114.3525,290.44,39,75,2.57,CA,2022-05-28 01:47:52
85,East London,-33.0153,27.9116,288.47,61,16,2.26,ZA,2022-05-28 01:47:52
86,Parauna,-16.9478,-50.4486,292.29,54,100,1.49,BR,2022-05-28 01:47:53
87,Panaba,21.2833,-88.2667,299.0,77,100,4.95,MX,2022-05-28 01:47:53
88,Umm Kaddadah,13.6017,26.6876,298.05,11,5,5.24,SD,2022-05-28 01:47:54
89,Hambantota,6.1241,81.1185,298.34,100,20,3.6,LK,2022-05-28 01:47:54
90,Inta,66.0317,60.1659,283.27,84,46,5.09,RU,2022-05-28 01:47:54
91,Bethel,41.3712,-73.414,292.61,91,100,0.45,US,2022-05-28 01:47:55
92,Barrow,71.2906,-156.7887,274.16,86,100,7.2,US,2022-05-28 01:47:55
93,Bontang,0.1333,117.5,299.01,82,100,0.89,ID,2022-05-28 01:47:56
94,Meadow Lake,34.8014,-106.5436,302.86,16,100,4.87,US,2022-05-28 01:43:08
95,Avarua,-21.2078,-159.775,299.18,83,75,2.06,CK,2022-05-28 01:47:56
96,Kruisfontein,-34.0033,24.7314,285.81,67,75,2.36,ZA,2022-05-28 01:47:57
97,Nikolskoye,59.7035,30.7861,282.99,97,100,0.95,RU,2022-05-28 01:47:57
98,Vila Velha,-20.3297,-40.2925,293.12,97,75,2.06,BR,2022-05-28 01:47:34
99,Port Elizabeth,-33.918,25.5701,284.31,100,0,1.54,ZA,2022-05-28 01:47:58
100,Mareeba,-17.0,145.4333,299.63,60,70,0.71,AU,2022-05-28 01:47:58
101,Ouro Preto Do Oeste,-10.7481,-62.2158,295.54,75,19,1.38,BR,2022-05-28 01:47:59
102,Ornskoldsvik,63.2909,18.7153,281.02,90,100,3.39,SE,2022-05-28 01:47:59
103,Saraland,30.8207,-88.0706,299.16,54,0,2.18,US,2022-05-28 01:48:00
104,Caravelas,-17.7125,-39.2481,294.72,90,94,2.57,BR,2022-05-28 01:48:00
105,Mar Del Plata,-38.0023,-57.5575,282.64,83,0,2.24,AR,2022-05-28 01:46:18
106,Saldanha,-33.0117,17.9442,283.18,89,3,2.14,ZA,2022-05-28 01:48:01
107,Aklavik,68.2191,-135.0107,276.91,59,99,7.89,CA,2022-05-28 01:48:01
108,Mandalgovi,45.7625,106.2708,280.83,72,100,5.07,MN,2022-05-28 01:48:02
109,Yarkovo,57.4028,67.0786,284.27,79,15,3.86,RU,2022-05-28 01:48:02
110,Vostok,46.4856,135.8833,285.13,84,99,0.94,RU,2022-05-28 01:48:03
111,Deputatskiy,69.3,139.9,272.31,85,100,0.81,RU,2022-05-28 01:48:03
112,Roma,43.2128,-75.4557,292.44,94,100,4.12,US,2022-05-28 01:48:04
113,Broken Hill,-31.95,141.4333,288.26,57,0,3.94,AU,2022-05-28 01:47:28
114,Sile,41.1754,29.6133,290.52,74,0,1.91,TR,2022-05-28 01:48:05
115,Beloha,-25.1667,45.05,288.86,69,2,2.38,MG,2022-05-28 01:48:05
116,Chapais,49.7834,-74.8492,285.03,97,100,2.39,CA,2022-05-28 01:47:45
117,Saint George,37.1041,-113.5841,307.48,10,0,6.69,US,2022-05-28 01:45:22
118,Tuatapere,-46.1333,167.6833,285.97,74,100,2.44,NZ,2022-05-28 01:48:06
119,Lamar,33.6668,-95.5836,300.1,41,0,2.06,US,2022-05-28 01:48:06
120,Mamboma,8.0833,-11.6833,296.07,99,100,0.83,SL,2022-05-28 01:48:07
121,Ust-Ilimsk,58.0006,102.6619,282.9,30,3,4.13,RU,2022-05-28 01:48:07
122,Waingapu,-9.6567,120.2641,301.78,72,100,5.69,ID,2022-05-28 01:48:08
123,Pisco,-13.7,-76.2167,290.18,77,6,4.63,PE,2022-05-28 01:48:08
124,Sorong,-0.8833,131.25,301.58,73,51,1.4,ID,2022-05-28 01:48:09
125,Salur,18.5333,83.2167,307.73,30,0,1.27,IN,2022-05-28 01:48:10
126,Qasigiannguit,68.8193,-51.1922,274.29,87,94,1.44,GL,2022-05-28 01:48:10
127,Todos Santos,23.45,-110.2167,295.93,64,2,2.77,MX,2022-05-28 01:48:10
128,Gobabis,-22.45,18.9667,285.46,30,0,4.78,NA,2022-05-28 01:48:11
129,Mount Gambier,-37.8333,140.7667,286.58,74,63,3.7,AU,2022-05-28 01:48:11
130,Turan,16.0678,108.2208,306.14,58,20,2.57,VN,2022-05-28 01:47:27
131,Kodiak,57.79,-152.4072,289.88,48,0,3.6,US,2022-05-28 01:48:12
132,Soyo,-6.1349,12.3689,295.75,85,0,2.71,AO,2022-05-28 01:48:13
133,Farah,32.5,62.5,291.58,35,0,2.64,AF,2022-05-28 01:48:13
134,Prieska,-29.6641,22.7474,288.08,43,0,1.91,ZA,2022-05-28 01:48:14
135,Kamaishi,39.2667,141.8833,289.72,71,74,3.66,JP,2022-05-28 01:48:14
136,La Palma,33.8464,-118.0467,296.99,65,0,6.17,US,2022-05-28 01:48:15
137,Benguela,-12.5763,13.4055,293.62,87,0,0.87,AO,2022-05-28 01:48:15
138,Pangody,65.85,74.4859,289.46,40,45,6.1,RU,2022-05-28 01:48:16
139,Sri Aman,1.2376,111.4621,298.2,88,20,1.03,MY,2022-05-28 01:48:16
140,Damavand,35.7178,52.065,286.26,39,0,1.27,IR,2022-05-28 01:48:17
141,Belmonte,-15.8631,-38.8828,295.73,87,78,3.81,BR,2022-05-28 01:48:17
142,Udachnyy,66.4167,112.4,280.07,48,97,2.27,RU,2022-05-28 01:48:18
143,Vallenar,-28.5708,-70.7581,288.52,58,0,1.3,CL,2022-05-28 01:48:18
144,Queanbeyan,-35.35,149.2333,287.1,88,40,1.03,AU,2022-05-28 01:48:19
145,Matamoros,25.5333,-103.25,304.57,17,2,9.73,MX,2022-05-28 01:48:19
146,Mitchell,43.7094,-98.0298,298.14,36,0,4.63,US,2022-05-28 01:45:11
147,Mayo,38.8876,-76.5119,294.96,90,100,4.63,US,2022-05-28 01:48:20
148,Hermanus,-34.4187,19.2345,288.48,73,38,1.99,ZA,2022-05-28 01:48:20
149,Pangnirtung,66.1451,-65.7125,264.1,94,60,2.98,CA,2022-05-28 01:48:21
150,Aldan,58.6031,125.3894,282.21,85,98,2.13,RU,2022-05-28 01:48:21
151,Roald,62.5833,6.1333,283.65,93,75,4.63,NO,2022-05-28 01:48:22
152,Igarka,67.4667,86.5833,284.45,50,7,0.85,RU,2022-05-28 01:48:22
