City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
190,Mingguang,CN,74.61,overcast clouds,32.7802,117.9638,Yonghao Hotel
194,Atuona,PF,78.55,clear sky,-9.8,-139.0333,Villa Enata
197,Izumo,JP,76.95,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
198,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
202,Bo Phloi,TH,87.75,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
205,Vanimo,PG,86.63,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
207,Kawalu,ID,85.55,broken clouds,-7.3817,108.2082,West Jontor
209,Shawnee,US,71.46,clear sky,39.05,-95.7669,Fairfield Inn by Marriott Topeka
212,Nhulunbuy,AU,84.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
215,Bubaque,GW,78.22,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
218,Douentza,ML,92.05,broken clouds,14.9951,-2.9517,Ogomono Doumbo
220,Pringsewu,ID,77.4,overcast clouds,-5.3582,104.9744,Urban Style by Front One
223,Hithadhoo,MV,83.66,broken clouds,-0.6,73.0833,Scoop Guest House
224,Chifeng,CN,78.58,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
229,Garowe,SO,77.52,scattered clouds,8.4054,48.4845,Curubo Hotel
233,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
235,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
237,Abu Kamal,SY,78.44,clear sky,34.4506,40.9171,البوكمال
239,Yinchuan,CN,85.68,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
240,Kulhudhuffushi,MV,83.26,broken clouds,6.6221,73.07,Haajy Guest House 1
242,Bengkulu,ID,79.41,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
246,Sao Joao Da Barra,BR,71.22,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
249,Port Macquarie,AU,73.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
255,Bowen,AU,75.33,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
257,Muli,MV,83.88,few clouds,2.9167,73.5667,Medhufushi Island Resort
258,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
264,Waddan,LY,73.13,clear sky,29.1614,16.139,محل الشريف محمد العايب
265,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
270,Idlib,SY,70.74,clear sky,35.9306,36.6339,مركز تسيل للتجميل
273,Smyrna,US,71.46,few clouds,33.884,-84.5144,Wingate by Wyndham Atlanta Galleria/Ballpark
275,Banamba,ML,83.62,scattered clouds,13.55,-7.45,Kassela de Banamba
